| Classe HTML | Présente dans le CSS | Détails |
| .md:w-1/3 | ❌ Non | Aucune définition trouvée |
| .md:w-1/4 | ❌ Non | Aucune définition trouvée |
| .md:w-14 | ❌ Non | Aucune définition trouvée |
| .md:w-2/3 | ❌ Non | Aucune définition trouvée |
| .md:w-24 | ❌ Non | Aucune définition trouvée |
| .md:w-80 | ❌ Non | Aucune définition trouvée |
| .min-h-screen | ✅ Oui | Définition trouvée |
| .mobile-tab | ❌ Non | Aucune définition trouvée |
| .mr-2 | ✅ Oui | Définition trouvée |
| .mr-3 | ✅ Oui | Définition trouvée |
| .mr-4 | ✅ Oui | Définition trouvée |
| .mt-1 | ✅ Oui | Définition trouvée |
| .mt-12 | ✅ Oui | Définition trouvée |
| .mt-2 | ✅ Oui | Définition trouvée |
| .mt-4 | ✅ Oui | Définition trouvée |
| .mt-6 | ✅ Oui | Définition trouvée |
| .mt-8 | ✅ Oui | Définition trouvée |
| .mx-auto | ✅ Oui | Définition trouvée |
| .nav-link | ✅ Oui | Définition trouvée |
| .object-cover | ✅ Oui | Définition trouvée |
| .opacity-0 | ✅ Oui | Définition trouvée |
| .opacity-100 | ❌ Non | Aucune définition trouvée |
| .overflow-hidden | ✅ Oui | Définition trouvée |
| .overflow-x-auto | ✅ Oui | Définition trouvée |
| .p-0 | ❌ Non | Aucune définition trouvée |
| .p-1.5 | ✅ Oui | Définition trouvée |
| .p-2 | ✅ Oui | Définition trouvée |
| .p-3 | ✅ Oui | Définition trouvée |
| .p-4 | ✅ Oui | Définition trouvée |
| .p-5 | ✅ Oui | Définition trouvée |
| .p-6 | ✅ Oui | Définition trouvée |
| .p-8 | ✅ Oui | Définition trouvée |
| .pb-12 | ✅ Oui | Définition trouvée |
| .pb-4 | ✅ Oui | Définition trouvée |
| .pointer-events-none | ✅ Oui | Définition trouvée |
| .pt-8 | ✅ Oui | Définition trouvée |
| .px-10 | ✅ Oui | Définition trouvée |
| .px-2 | ❌ Non | Aucune définition trouvée |
| .px-3 | ✅ Oui | Définition trouvée |
| .px-4 | ✅ Oui | Définition trouvée |
| .px-5 | ✅ Oui | Définition trouvée |
| .px-6 | ✅ Oui | Définition trouvée |
| .px-8 | ✅ Oui | Définition trouvée |
| .py-1.5 | ✅ Oui | Définition trouvée |
| .py-12 | ✅ Oui | Définition trouvée |
| .py-16 | ✅ Oui | Définition trouvée |
| .py-2 | ✅ Oui | Définition trouvée |
| .py-2.5 | ✅ Oui | Définition trouvée |
| .py-3 | ✅ Oui | Définition trouvée |
| .py-4 | ✅ Oui | Définition trouvée |
| .py-8 | ✅ Oui | Définition trouvée |
| .relative | ✅ Oui | Définition trouvée |
| .right-0 | ✅ Oui | Définition trouvée |
| .right-3 | ✅ Oui | Définition trouvée |
| .right-4 | ✅ Oui | Définition trouvée |
| .rounded-2xl | ✅ Oui | Définition trouvée |
| .rounded-3xl | ✅ Oui | Définition trouvée |
| .rounded-full | ✅ Oui | Définition trouvée |
| .rounded-lg | ✅ Oui | Définition trouvée |
| .rounded-xl | ✅ Oui | Définition trouvée |
| .scale-75 | ✅ Oui | Définition trouvée |
| .scale-95 | ✅ Oui | Définition trouvée |
| .scroll-smooth | ✅ Oui | Définition trouvée |
| .scrollbar-hide | ✅ Oui | Définition trouvée |
| .shadow-2xl | ✅ Oui | Définition trouvée |
| .shadow-[0_-5px_20px_rgba(0,0,0,0.05)] | ❌ Non | Aucune définition trouvée |
| .shadow-lg | ✅ Oui | Définition trouvée |
| .shadow-md | ✅ Oui | Définition trouvée |
| .shadow-sm | ✅ Oui | Définition trouvée |
| .shadow-xl | ✅ Oui | Définition trouvée |
| .sm:block | ❌ Non | Aucune définition trouvée |
| .sm:flex-row | ❌ Non | Aucune définition trouvée |
| .sm:h-80 | ❌ Non | Aucune définition trouvée |
| .sm:px-10 | ❌ Non | Aucune définition trouvée |
| .sm:text-4xl | ❌ Non | Aucune définition trouvée |
| .sm:text-5xl | ❌ Non | Aucune définition trouvée |
| .sm:w-1/2 | ❌ Non | Aucune définition trouvée |
| .sm:w-80 | ❌ Non | Aucune définition trouvée |
| .social-icon | ✅ Oui | Définition trouvée |
| .space-x-2 | ✅ Oui | Définition trouvée |
| .space-x-3 | ✅ Oui | Définition trouvée |
| .space-x-6 | ✅ Oui | Définition trouvée |
| .space-y-2 | ✅ Oui | Définition trouvée |
| .space-y-3 | ✅ Oui | Définition trouvée |
| .space-y-4 | ✅ Oui | Définition trouvée |
| .space-y-6 | ✅ Oui | Définition trouvée |
| .tab-btn | ✅ Oui | Définition trouvée |
| .tab-content | ❌ Non | Aucune définition trouvée |
| .text-2xl | ✅ Oui | Définition trouvée |
| .text-3xl | ✅ Oui | Définition trouvée |
| .text-4xl | ✅ Oui | Définition trouvée |
| .text-[#a37b73] | ❌ Non | Aucune définition trouvée |
| .text-base | ✅ Oui | Définition trouvée |
| .text-black | ✅ Oui | Définition trouvée |
| .text-blue-500 | ✅ Oui | Définition trouvée |
| .text-center | ✅ Oui | Définition trouvée |
| .text-custom-accent | ✅ Oui | Définition trouvée |
| .text-custom-dark | ✅ Oui | Définition trouvée |
| .text-custom-dark/50 | ❌ Non | Aucune définition trouvée |
| .text-full | ❌ Non | Aucune définition trouvée |
| .text-gray-300 | ✅ Oui | Définition trouvée |
| .text-gray-400 | ✅ Oui | Définition trouvée |
| .text-gray-500 | ✅ Oui | Définition trouvée |
| .text-gray-600 | ✅ Oui | Définition trouvée |
| .text-gray-700 | ✅ Oui | Définition trouvée |
| .text-gray-800 | ✅ Oui | Définition trouvée |
| .text-green-700 | ✅ Oui | Définition trouvée |
| .text-left | ✅ Oui | Définition trouvée |
| .text-lg | ✅ Oui | Définition trouvée |
| .text-pink-800 | ✅ Oui | Définition trouvée |
| .text-purple-600 | ✅ Oui | Définition trouvée |
| .text-purple-800 | ✅ Oui | Définition trouvée |
| .text-red-400 | ✅ Oui | Définition trouvée |
| .text-red-500 | ✅ Oui | Définition trouvée |
| .text-red-600 | ✅ Oui | Définition trouvée |
| .text-short | ❌ Non | Aucune définition trouvée |
| .text-sm | ✅ Oui | Définition trouvée |
| .text-white | ✅ Oui | Définition trouvée |
| .text-white/80 | ✅ Oui | Définition trouvée |
| .text-xl | ✅ Oui | Définition trouvée |
| .text-xs | ✅ Oui | Définition trouvée |
| .top-0 | ✅ Oui | Définition trouvée |
| .top-1/2 | ✅ Oui | Définition trouvée |
| .top-3 | ✅ Oui | Définition trouvée |
| .top-4 | ✅ Oui | Définition trouvée |
| .tracking-tight | ✅ Oui | Définition trouvée |
| .transform | ✅ Oui | Définition trouvée |
| .transition | ✅ Oui | Définition trouvée |
| .transition-all | ✅ Oui | Définition trouvée |
| .transition-colors | ✅ Oui | Définition trouvée |
| .transition-opacity | ✅ Oui | Définition trouvée |
| .transition-transform | ✅ Oui | Définition trouvée |
| .translate-y-full | ✅ Oui | Définition trouvée |
| .w-1/2 | ❌ Non | Aucune définition trouvée |
| .w-12 | ✅ Oui | Définition trouvée |
| .w-16 | ✅ Oui | Définition trouvée |
| .w-20 | ✅ Oui | Définition trouvée |
| .w-24 | ✅ Oui | Définition trouvée |
| .w-48 | ✅ Oui | Définition trouvée |
| .w-5 | ✅ Oui | Définition trouvée |
| .w-6 | ✅ Oui | Définition trouvée |
| .w-64 | ✅ Oui | Définition trouvée |
| .w-8 | ✅ Oui | Définition trouvée |
| .w-9 | ✅ Oui | Définition trouvée |
| .w-full | ✅ Oui | Définition trouvée |
| .whitespace-nowrap | ✅ Oui | Définition trouvée |
| .z-10 | ✅ Oui | Définition trouvée |
| .z-40 | ✅ Oui | Définition trouvée |
| .z-50 | ✅ Oui | Définition trouvée |
